ChargeState,Wavelength,ExpIntensity,ExpIntensityUnc,TheoryIntensity
2,19.40142830000353,307.16545051128173,16.822975665671432,501.7595488121353
3,17.669326886700368,794.5796037034518,29.983135787929328,1070.0133409785906
2,11.58501315753825,31.683775662083804,6.175947909725695,153.30693307763045
1,22.720873051609946,1076.365710021293,34.836158661721164,773.411427655466
0,24.487788768160094,127.64114040451598,11.034385229048532,95.27990393662819
3,8.498881175685291,116.1841831862173,12.029657194123105,377.2122287939418
4,7.2036917119303485,46.22395206669563,6.998989554842991,155.632588670188
1,20.17802221750215,1424.2530268184428,37.189908667030224,1047.078750801428
2,10.274168459163999,48.07243829237894,7.15489724822693,167.1626492498488
4,14.520190701776945,3245.8530443311956,61.12818048394753,11761.989771493316
1,27.670829505958693,565.0997651604615,26.25607652815207,443.8705506401656
1,8.82451863208463,377.7940982266316,20.782401120593725,651.013981100544
3,11.030649369011812,35.964231708735944,6.271449876008397,123.23782886762662
4,8.116497762227194,2956.2839833628145,58.56660582629159,10999.889997389408
1,2.0439235898762136,82.46928972741584,8.710831622228964,174.17692976597016
1,19.191513902753435,3155.909913160721,51.62694998352595,2389.672518301943
2,15.854082267015277,269.4818179319369,15.729276415317523,612.4893528935212
4,15.669616127980124,504.8837229281096,23.84455656124899,1413.6552856324151
1,12.713152956567107,136.74670789944304,11.883958043667938,252.9500106562404
0,11.704144744441617,165.9315482528734,12.45421401091862,317.64332508449263
4,7.271347386942552,1327.536479483132,35.712846842068835,4627.51979664054
4,13.10159107403978,272.16921469663873,15.51493709372962,1136.9889473165993
1,5.666229519949205,56.68443718653844,8.282391844286494,109.17212450482366
3,22.045498429453133,5264.538301809934,74.1935184161265,6489.643829522339
0,11.589686917598488,119.43445887497586,10.999556062326644,217.39434129835774
4,14.988295296363411,561.9542734339484,23.920548638451017,1878.7460376923025
0,19.34706258178637,2239.203279447853,44.317000473245244,1584.0600589437972
4,26.751315210962613,486.59147983974464,23.47675659113485,747.113048049716
4,3.27247363890074,332.06723657528147,19.006449966025745,1535.2332343668581
1,21.754216466361726,4089.266589955518,64.30519419008718,3083.5910116163
4,27.45744065517706,1124.6789438023177,33.23936275333393,1968.4916127553724
0,19.927264023550634,769.3986997760685,27.75509168315359,528.9961275985073
1,17.764376018576517,1772.4413366050962,44.538181430731996,1453.9714193391533
3,20.30151088834708,457.78326307993456,21.165556720530926,580.4908661098011
1,16.485603050892585,1305.3260118061025,36.00653329109813,1438.1416178437814
3,21.146121866585204,129.95794503846747,11.250407588237374,166.77204100736841
3,17.027491210024028,1566.1956725590946,37.20635105566364,2422.7449043796705
1,9.28917823964417,1138.131317359603,35.357949064396614,1935.86766398024
2,15.17211645154552,2257.3312319169036,52.07350733779636,6653.854814777421
0,11.048235046295943,274.99850063474423,16.938071197444774,451.11495025184803
2,25.549827181717458,275.9282549938599,16.695024278013367,354.11303717277355
2,10.34923697134201,364.79114610239594,20.120260362397218,1314.1865373063874
2,18.87829031494092,96.90731714585066,10.671406369540511,153.47685572035923
2,17.277280648693832,163.3262550251475,12.380862540928447,311.88133086299894
2,20.0545586117354,1103.5553634781836,32.45272315532745,1621.3082271494934
1,22.787129821354085,181.64626746657922,14.731577067290008,153.3811883970658
1,4.744029013884181,300.28751733207804,17.82609317066605,530.9593981293407
3,25.58927896150435,776.0006646385793,30.544441432678124,977.2011448355254
0,16.135003415822403,149.05826057157068,11.96819314007016,159.45238476630834
4,7.470699610644259,431.68245256517395,22.528580007896217,1615.1175548995393
2,21.6414726773731,4042.950058125598,61.51011520665788,5829.234780383928
0,23.23395257856025,281.95395298510755,15.097396979517388,173.10896473750674
4,27.39894338535855,8306.411315200334,98.09873126475358,13621.636189727042
1,23.27279927396137,735.1324161301897,27.39563042785789,557.9868855354134
4,13.871660464473567,2402.012776256717,46.949973652474014,9396.840840458284
2,12.380672800144376,119.52350908390605,9.957008430466518,408.16830981811665
1,7.007879179240659,3771.9948244182747,60.78799635915587,6291.666093154221
4,10.93826697717637,384.49887459876123,18.1821652264266,1462.1950398772542
3,27.984086860525867,141.62533923565857,10.382635554764784,161.6129671015559
4,5.571608903603786,158.97448396290787,12.906914931442962,582.7068558585744
